iid,cid,invoice_date,total,bill_ctry
8,38,2009-02-06,1.98,Germany
9,40,2009-02-06,1.98,France
10,42,2009-02-07,3.96,France
11,46,2009-02-08,5.94,Ireland
12,52,2009-02-11,8.91,UK
13,2,2009-02-16,13.86,Germany
14,16,2009-02-24,0.99,USA
91,22,2010-02-13,1.98,USA
92,24,2010-02-13,1.98,USA
93,26,2010-02-14,3.96,USA
94,30,2010-02-15,5.94,Canada
95,36,2010-02-18,8.91,Germany
96,45,2010-02-23,13.86,Hungary
174,5,2011-02-07,0.99,Czech Republic
175,6,2011-02-20,1.98,Czech Republic
176,8,2011-02-20,1.98,Belgium
177,10,2011-02-21,3.96,Brazil
178,14,2011-02-22,5.94,Canada
179,20,2011-02-25,8.91,USA
257,34,2012-02-05,23.86,Portugal
258,48,2012-02-13,0.99,Netherlands
259,49,2012-02-26,1.98,Poland
260,51,2012-02-26,1.98,Sweden
261,53,2012-02-27,3.96,UK
262,57,2012-02-28,5.94,Chile
340,54,2013-02-02,1.98,UK
341,56,2013-02-02,1.98,Argentina
342,58,2013-02-03,3.96,India
343,3,2013-02-04,5.94,Canada
344,9,2013-02-07,8.91,Denmark
345,18,2013-02-12,13.86,USA
346,32,2013-02-20,0.99,Canada
