iid,cid,invoice_date,total,bill_ctry
1,59,2009-01-06,1.98,India
2,2,2009-01-06,1.98,Germany
3,4,2009-01-07,3.96,Norway
4,8,2009-01-08,5.94,Belgium
5,14,2009-01-11,8.91,Canada
6,23,2009-01-16,13.86,USA
7,37,2009-01-24,0.99,Germany
84,43,2010-01-13,1.98,France
85,45,2010-01-13,1.98,Hungary
86,47,2010-01-14,3.96,Italy
87,51,2010-01-15,5.94,Sweden
88,57,2010-01-18,8.91,Chile
89,7,2010-01-23,13.86,Austria
90,21,2010-01-31,0.99,USA
167,26,2011-01-07,0.99,USA
168,27,2011-01-20,1.98,USA
169,29,2011-01-20,1.98,Canada
170,31,2011-01-21,3.96,Canada
171,35,2011-01-22,5.94,Portugal
172,41,2011-01-25,8.91,France
173,50,2011-01-30,13.86,Spain
250,55,2012-01-05,23.86,Australia
251,10,2012-01-13,0.99,Brazil
252,11,2012-01-26,1.98,Brazil
253,13,2012-01-26,1.98,Brazil
254,15,2012-01-27,3.96,Canada
255,19,2012-01-28,5.94,USA
256,25,2012-01-31,8.91,USA
333,16,2013-01-02,1.98,USA
334,18,2013-01-02,1.98,USA
335,20,2013-01-03,3.96,USA
336,24,2013-01-04,5.94,USA
337,30,2013-01-07,8.91,Canada
338,39,2013-01-12,13.86,France
339,53,2013-01-20,0.99,UK
