iid,cid,invoice_date,total,bill_ctry
15,17,2009-03-06,1.98,USA
16,19,2009-03-06,1.98,USA
17,21,2009-03-07,3.96,USA
18,25,2009-03-08,5.94,USA
19,31,2009-03-11,8.91,Canada
20,40,2009-03-16,13.86,France
21,54,2009-03-24,0.99,UK
97,1,2010-03-13,1.98,Brazil
98,3,2010-03-13,1.98,Canada
99,5,2010-03-14,3.96,Czech Republic
100,9,2010-03-15,5.94,Denmark
101,15,2010-03-18,8.91,Canada
102,24,2010-03-23,13.86,USA
103,38,2010-03-31,0.99,Germany
180,43,2011-03-07,0.99,France
181,44,2011-03-20,1.98,Finland
182,46,2011-03-20,1.98,Ireland
183,48,2011-03-21,3.96,Netherlands
184,52,2011-03-22,5.94,UK
185,58,2011-03-25,8.91,India
186,8,2011-03-30,13.86,Belgium
263,13,2012-03-05,23.86,Brazil
264,27,2012-03-13,0.99,USA
265,28,2012-03-26,1.98,USA
266,30,2012-03-26,1.98,Canada
267,32,2012-03-27,3.96,Canada
268,36,2012-03-28,5.94,Germany
269,42,2012-03-31,8.91,France
347,33,2013-03-02,1.98,Canada
348,35,2013-03-02,1.98,Portugal
349,37,2013-03-03,3.96,Germany
350,41,2013-03-04,5.94,France
351,47,2013-03-07,8.91,Italy
352,56,2013-03-12,13.86,Argentina
353,11,2013-03-20,0.99,Brazil
