TrackId,Name,AlbumId,MediaTypeId,GenreId,Composer
1,For Those About To Rock (We Salute You),1,1,1,"Angus Young, Malcolm Young, Brian Johnson"
2,Balls to the Wall,2,2,1,
3,Fast As a Shark,3,2,1,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman"
4,Restless and Wild,3,2,1,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman"
5,Princess of the Dawn,3,2,1,Deaffy & R.A. Smith-Diesel
6,Put The Finger On You,1,1,1,"Angus Young, Malcolm Young, Brian Johnson"
7,Let's Get It Up,1,1,1,"Angus Young, Malcolm Young, Brian Johnson"
8,Inject The Venom,1,1,1,"Angus Young, Malcolm Young, Brian Johnson"
9,Snowballed,1,1,1,"Angus Young, Malcolm Young, Brian Johnson"
10,Evil Walks,1,1,1,"Angus Young, Malcolm Young, Brian Johnson"
11,C.O.D.,1,1,1,"Angus Young, Malcolm Young, Brian Johnson"
12,Breaking The Rules,1,1,1,"Angus Young, Malcolm Young, Brian Johnson"
13,Night Of The Long Knives,1,1,1,"Angus Young, Malcolm Young, Brian Johnson"
14,Spellbound,1,1,1,"Angus Young, Malcolm Young, Brian Johnson"
15,Go Down,4,1,1,AC/DC
16,Dog Eat Dog,4,1,1,AC/DC
17,Let There Be Rock,4,1,1,AC/DC
18,Bad Boy Boogie,4,1,1,AC/DC
19,Problem Child,4,1,1,AC/DC
20,Overdose,4,1,1,AC/DC
21,Hell Ain't A Bad Place To Be,4,1,1,AC/DC
22,Whole Lotta Rosie,4,1,1,AC/DC
23,Walk On Water,5,1,1,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw"
24,Love In An Elevator,5,1,1,"Steven Tyler, Joe Perry"
25,Rag Doll,5,1,1,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight"
26,What It Takes,5,1,1,"Steven Tyler, Joe Perry, Desmond Child"
27,Dude (Looks Like A Lady),5,1,1,"Steven Tyler, Joe Perry, Desmond Child"
28,Janie's Got A Gun,5,1,1,"Steven Tyler, Tom Hamilton"
29,Cryin',5,1,1,"Steven Tyler, Joe Perry, Taylor Rhodes"
30,Amazing,5,1,1,"Steven Tyler, Richie Supa"
31,Blind Man,5,1,1,"Steven Tyler, Joe Perry, Taylor Rhodes"
32,Deuces Are Wild,5,1,1,"Steven Tyler, Jim Vallance"
33,The Other Side,5,1,1,"Steven Tyler, Jim Vallance"
34,Crazy,5,1,1,"Steven Tyler, Joe Perry, Desmond Child"
35,Eat The Rich,5,1,1,"Steven Tyler, Joe Perry, Jim Vallance"
36,Angel,5,1,1,"Steven Tyler, Desmond Child"
37,Livin' On The Edge,5,1,1,"Steven Tyler, Joe Perry, Mark Hudson"
38,All I Really Want,6,1,1,Alanis Morissette & Glenn Ballard
39,You Oughta Know,6,1,1,Alanis Morissette & Glenn Ballard
40,Perfect,6,1,1,Alanis Morissette & Glenn Ballard
41,Hand In My Pocket,6,1,1,Alanis Morissette & Glenn Ballard
42,Right Through You,6,1,1,Alanis Morissette & Glenn Ballard
43,Forgiven,6,1,1,Alanis Morissette & Glenn Ballard
44,You Learn,6,1,1,Alanis Morissette & Glenn Ballard
45,Head Over Feet,6,1,1,Alanis Morissette & Glenn Ballard
46,Mary Jane,6,1,1,Alanis Morissette & Glenn Ballard
47,Ironic,6,1,1,Alanis Morissette & Glenn Ballard
48,Not The Doctor,6,1,1,Alanis Morissette & Glenn Ballard
49,Wake Up,6,1,1,Alanis Morissette & Glenn Ballard
50,You Oughta Know (Alternate),6,1,1,Alanis Morissette & Glenn Ballard
51,We Die Young,7,1,1,Jerry Cantrell
52,Man In The Box,7,1,1,"Jerry Cantrell, Layne Staley"
53,Sea Of Sorrow,7,1,1,Jerry Cantrell
54,Bleed The Freak,7,1,1,Jerry Cantrell
55,I Can't Remember,7,1,1,"Jerry Cantrell, Layne Staley"
56,"Love, Hate, Love",7,1,1,"Jerry Cantrell, Layne Staley"
57,It Ain't Like That,7,1,1,"Jerry Cantrell, Michael Starr, Sean Kinney"
58,Sunshine,7,1,1,Jerry Cantrell
59,Put You Down,7,1,1,Jerry Cantrell
60,Confusion,7,1,1,"Jerry Cantrell, Michael Starr, Layne Staley"
61,I Know Somethin (Bout You),7,1,1,Jerry Cantrell
62,Real Thing,7,1,1,"Jerry Cantrell, Layne Staley"
63,Desafinado,8,1,2,
64,Garota De Ipanema,8,1,2,
65,Samba De Uma Nota Só (One Note Samba),8,1,2,
66,Por Causa De Você,8,1,2,
67,Ligia,8,1,2,
68,Fotografia,8,1,2,
69,Dindi (Dindi),8,1,2,
70,Se Todos Fossem Iguais A Você (Instrumental),8,1,2,
71,Falando De Amor,8,1,2,
72,Angela,8,1,2,
73,Corcovado (Quiet Nights Of Quiet Stars),8,1,2,
74,Outra Vez,8,1,2,
75,O Boto (Bôto),8,1,2,
76,"Canta, Canta Mais",8,1,2,
77,Enter Sandman,9,1,3,Apocalyptica
78,Master Of Puppets,9,1,3,Apocalyptica
79,Harvester Of Sorrow,9,1,3,Apocalyptica
80,The Unforgiven,9,1,3,Apocalyptica
81,Sad But True,9,1,3,Apocalyptica
82,Creeping Death,9,1,3,Apocalyptica
83,Wherever I May Roam,9,1,3,Apocalyptica
84,Welcome Home (Sanitarium),9,1,3,Apocalyptica
85,Cochise,10,1,1,Audioslave/Chris Cornell
86,Show Me How to Live,10,1,1,Audioslave/Chris Cornell
87,Gasoline,10,1,1,Audioslave/Chris Cornell
88,What You Are,10,1,1,Audioslave/Chris Cornell
89,Like a Stone,10,1,1,Audioslave/Chris Cornell
90,Set It Off,10,1,1,Audioslave/Chris Cornell
91,Shadow on the Sun,10,1,1,Audioslave/Chris Cornell
92,I am the Highway,10,1,1,Audioslave/Chris Cornell
93,Exploder,10,1,1,Audioslave/Chris Cornell
94,Hypnotize,10,1,1,Audioslave/Chris Cornell
95,Bring'em Back Alive,10,1,1,Audioslave/Chris Cornell
96,Light My Way,10,1,1,Audioslave/Chris Cornell
97,Getaway Car,10,1,1,Audioslave/Chris Cornell
98,The Last Remaining Light,10,1,1,Audioslave/Chris Cornell
99,Your Time Has Come,11,1,4,"Cornell, Commerford, Morello, Wilk"
100,Out Of Exile,11,1,4,"Cornell, Commerford, Morello, Wilk"
101,Be Yourself,11,1,4,"Cornell, Commerford, Morello, Wilk"
102,Doesn't Remind Me,11,1,4,"Cornell, Commerford, Morello, Wilk"
103,Drown Me Slowly,11,1,4,"Cornell, Commerford, Morello, Wilk"
104,Heaven's Dead,11,1,4,"Cornell, Commerford, Morello, Wilk"
105,The Worm,11,1,4,"Cornell, Commerford, Morello, Wilk"
106,Man Or Animal,11,1,4,"Cornell, Commerford, Morello, Wilk"
107,Yesterday To Tomorrow,11,1,4,"Cornell, Commerford, Morello, Wilk"
108,Dandelion,11,1,4,"Cornell, Commerford, Morello, Wilk"
109,#1 Zero,11,1,4,"Cornell, Commerford, Morello, Wilk"
110,The Curse,11,1,4,"Cornell, Commerford, Morello, Wilk"
111,Money,12,1,5,"Berry Gordy, Jr./Janie Bradford"
112,Long Tall Sally,12,1,5,"Enotris Johnson/Little Richard/Robert ""Bumps"" Blackwell"
113,Bad Boy,12,1,5,Larry Williams
114,Twist And Shout,12,1,5,Bert Russell/Phil Medley
115,Please Mr. Postman,12,1,5,Brian Holland/Freddie Gorman/Georgia Dobbins/Robert Bateman/William Garrett
116,C'Mon Everybody,12,1,5,Eddie Cochran/Jerry Capehart
117,Rock 'N' Roll Music,12,1,5,Chuck Berry
118,Slow Down,12,1,5,Larry Williams
119,Roadrunner,12,1,5,Bo Diddley
120,Carol,12,1,5,Chuck Berry
121,Good Golly Miss Molly,12,1,5,Little Richard
122,20 Flight Rock,12,1,5,Ned Fairchild
123,Quadrant,13,1,2,Billy Cobham
124,Snoopy's search-Red baron,13,1,2,Billy Cobham
125,"Spanish moss-""A sound portrait""-Spanish moss",13,1,2,Billy Cobham
126,Moon germs,13,1,2,Billy Cobham
127,Stratus,13,1,2,Billy Cobham
128,The pleasant pheasant,13,1,2,Billy Cobham
129,Solo-Panhandler,13,1,2,Billy Cobham
130,Do what cha wanna,13,1,2,George Duke
131,Intro/ Low Down,14,1,3,
132,13 Years Of Grief,14,1,3,
133,Stronger Than Death,14,1,3,
134,All For You,14,1,3,
135,Super Terrorizer,14,1,3,
136,Phoney Smile Fake Hellos,14,1,3,
137,Lost My Better Half,14,1,3,
138,Bored To Tears,14,1,3,
139,A.N.D.R.O.T.A.Z.,14,1,3,
140,Born To Booze,14,1,3,
141,World Of Trouble,14,1,3,
142,No More Tears,14,1,3,
143,The Begining... At Last,14,1,3,
144,Heart Of Gold,15,1,3,
145,Snowblind,15,1,3,
146,Like A Bird,15,1,3,
147,Blood In The Wall,15,1,3,
148,The Beginning...At Last,15,1,3,
149,Black Sabbath,16,1,3,
150,The Wizard,16,1,3,
151,Behind The Wall Of Sleep,16,1,3,
152,N.I.B.,16,1,3,
153,Evil Woman,16,1,3,
154,Sleeping Village,16,1,3,
155,Warning,16,1,3,
156,Wheels Of Confusion / The Straightener,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne"
157,Tomorrow's Dream,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne"
158,Changes,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne"
159,FX,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne"
160,Supernaut,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne"
161,Snowblind,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne"
162,Cornucopia,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne"
163,Laguna Sunrise,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne"
164,St. Vitus Dance,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne"
165,Under The Sun/Every Day Comes and Goes,17,1,3,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne"
166,Smoked Pork,18,1,4,
167,Body Count's In The House,18,1,4,
168,Now Sports,18,1,4,
169,Body Count,18,1,4,
170,A Statistic,18,1,4,
171,Bowels Of The Devil,18,1,4,
172,The Real Problem,18,1,4,
173,KKK Bitch,18,1,4,
174,D Note,18,1,4,
175,Voodoo,18,1,4,
176,The Winner Loses,18,1,4,
177,There Goes The Neighborhood,18,1,4,
178,Oprah,18,1,4,
179,Evil Dick,18,1,4,
180,Body Count Anthem,18,1,4,
181,Momma's Gotta Die Tonight,18,1,4,
182,Freedom Of Speech,18,1,4,
183,King In Crimson,19,1,3,Roy Z
184,Chemical Wedding,19,1,3,Roy Z
185,The Tower,19,1,3,Roy Z
186,Killing Floor,19,1,3,Adrian Smith
187,Book Of Thel,19,1,3,Eddie Casillas/Roy Z
188,Gates Of Urizen,19,1,3,Roy Z
189,Jerusalem,19,1,3,Roy Z
190,Trupets Of Jericho,19,1,3,Roy Z
191,Machine Men,19,1,3,Adrian Smith
192,The Alchemist,19,1,3,Roy Z
193,Realword,19,1,3,Roy Z
194,First Time I Met The Blues,20,1,6,Eurreal Montgomery
