TrackId,Milliseconds,Bytes,UnitPrice
1,343719,11170334,0.99
2,342562,5510424,0.99
3,230619,3990994,0.99
4,252051,4331779,0.99
2,252051,4331779,0.99
5,375418,6290521,0.99
6,205662,6713451,0.99
7,233926,7636561,0.99
8,210834,6852860,0.99
9,203102,6599424,0.99
10,263497,8611245,0.99
11,199836,6566314,0.99
12,263288,8596840,0.99
13,205688,6706347,0.99
14,270863,8817038,0.99
15,331180,10847611,0.99
16,215196,7032162,0.99
17,366654,12021261,0.99
18,267728,8776140,0.99
19,325041,10617116,0.99
20,369319,12066294,0.99
21,254380,8331286,0.99
22,323761,10547154,0.99
23,295680,9719579,0.99
24,321828,10552051,0.99
25,264698,8675345,0.99
26,310622,10144730,0.99
27,264855,8679940,0.99
28,330736,10869391,0.99
29,309263,10056995,0.99
30,356519,11616195,0.99
31,240718,7877453,0.99
32,215875,7074167,0.99
33,244375,7983270,0.99
34,316656,10402398,0.99
35,251036,8262039,0.99
36,307617,9989331,0.99
37,381231,12374569,0.99
38,284891,9375567,0.99
39,249234,8196916,0.99
40,188133,6145404,0.99
41,221570,7224246,0.99
42,176117,5793082,0.99
43,300355,9753256,0.99
44,239699,7824837,0.99
45,267493,8758008,0.99
46,280607,9163588,0.99
47,229825,7598866,0.99
48,227631,7604601,0.99
49,293485,9703359,0.99
50,491885,16008629,0.99
51,152084,4925362,0.99
52,286641,9310272,0.99
53,349831,11316328,0.99
54,241946,7847716,0.99
55,222955,7302550,0.99
56,387134,12575396,0.99
57,277577,8993793,0.99
58,284969,9216057,0.99
59,196231,6420530,0.99
60,344163,11183647,0.99
61,261955,8497788,0.99
62,243879,7937731,0.99
63,185338,5990473,0.99
64,285048,9348428,0.99
65,137273,4535401,0.99
66,169900,5536496,0.99
67,251977,8226934,0.99
68,129227,4198774,0.99
69,253178,8149148,0.99
70,134948,4393377,0.99
71,219663,7121735,0.99
72,169508,5574957,0.99
73,205662,6687994,0.99
74,126511,4110053,0.99
75,366837,12089673,0.99
76,271856,8719426,0.99
77,221701,7286305,0.99
78,436453,14375310,0.99
79,374543,12372536,0.99
80,322925,10422447,0.99
81,288208,9405526,0.99
82,308035,10110980,0.99
83,369345,12033110,0.99
84,350197,11406431,0.99
85,222380,5339931,0.99
86,277890,6672176,0.99
87,279457,6709793,0.99
88,249391,5988186,0.99
89,294034,7059624,0.99
90,263262,6321091,0.99
91,343457,8245793,0.99
92,334942,8041411,0.99
93,206053,4948095,0.99
94,206628,4961887,0.99
95,329534,7911634,0.99
96,303595,7289084,0.99
